Project_Name,District,Tehsil/Town,Year_Sanctioned,No._of_Floors,Building_Type,Structure_Type,Foundation_Type,Cost-per-Sqft,Total_Cost (in Millions)
GGPS Chechian,Haripur,Ghazi (47),01/25/2017,1,Education,RCC,Raft,3800,17.07
Govt Postgraduate College Haripur (Block-B),Haripur,Haripur (46),03/14/2017,2,Education,RCC,,3800,64.66
Govt Degree College Ghazi (Science Block),Haripur,Ghazi (47),05/09/2017,2,Education,RCC,Raft,3800,
GGDC Khanpur,Haripur,Khanpur (48),07/21/2017,2,Education,RCC,Raft,3800,
GHS Ali Khan,Haripur,Ghazi (47),09/16/2017,1,Education,RCC,Strip,3100,39.69
GMS Sirkot,Haripur,Khanpur (48),11/04/2017,1,Education,RCC,Raft,3800,21.5
GGPS Panian,Haripur,Ghazi (47),01/12/2018,1,Education,RCC,Isolated,3200,18.95
GPS Hattar,Haripur,Ghazi (47),04/06/2018,1,Education,RCC,Strip,3100,16.7
Civil Hospital Khanpur (OPD Block),Haripur,Khanpur (48),06/18/2018,2,Health,RCC,Raft,5200,91.4
THQ Hospital Ghazi (Emergency Block),Haripur,Ghazi (47),08/27/2018,3,Health,RCC,,5200,149.11
DHQ Hospital Haripur (Trauma Centre),Haripur,Haripur (46),10/09/2018,3,Health,RCC,Raft,,197.98
BHU Ali Khan,Haripur,Ghazi (47),12/21/2018,1,Health,RCC,Raft,5200,
BHU Shah Maqsood,Haripur,Haripur (46),02/03/2019,1,Health,RCC,Strip,3500,34.44
BHU Sirkot,Haripur,Haripur (46),05/16/2019,1,Health,RCC,Raft,5200,35.02
BHU Barki,Haripur,Khanpur (48),07/08/2019,1,Health,RCC,Isolated,3400,31.09
BHU Chechian,Haripur,Haripur (46),09/22/2019,1,Health,RCC,Strip,3500,28.45
Tehsil Complex Khanpur,Haripur,Khanpur (48),12/05/2019,2,Revenue,RCC,Raft,4500,63.28
Sub-Division Office Irrigation Haripur,Haripur,Haripur (46),01/29/2020,1,Revenue,RCC,Strip,4500,36.14
District Accounts Office Haripur,Haripur,Haripur (46),03/16/2020,2,Revenue,RCC,Raft,4500,51.86
Excise & Taxation Office Haripur,Haripur,Haripur (46),05/08/2020,1,Revenue,RCC,Strip,4500,46.44
Police Station City Haripur,Haripur,Haripur (46),06/22/2020,2,Home Affairs,RCC,Raft,4500,46.69
Police Station Khanpur,Haripur,Khanpur (48),09/15/2020,2,Home Affairs,RCC,Strip,,52.53
Police Station Ghazi,Haripur,Ghazi (47),11/07/2020,2,Home Affairs,RCC,Raft,4500,48.11
Police Station Regular/Saddar Haripur,Haripur,Haripur (46),01/19/2021,2,Home Affairs,RCC,Raft,4500,
District Jail Haripur (Admin Block),Haripur,Haripur (46),02/25/2021,2,Home Affairs,RCC,Raft,4500,76.98
Rescue 1122 Sub-Station Khanpur,Haripur,Khanpur (48),04/12/2021,2,Rehabilitation,RCC,Raft,4500,43.09
Rescue 1122 Sub-Station Ghazi,Haripur,Ghazi (47),07/16/2021,1,Rehabilitation,RCC,Strip,4500,41.43
XEN C&W District Office Haripur,Haripur,Haripur (46),08/30/2021,2,Rehabilitation,RCC,Raft,4500,47.24
Agriculture Extension Office Haripur,Haripur,Haripur (46),10/18/2021,1,Agriculture,RCC,Strip,4500,27.4
Veterinary Hospital Haripur,Haripur,Haripur (46),12/06/2021,1,Agriculture,RCC,Isolated,4500,
Livestock Development Office Ghazi,Haripur,Ghazi (47),01/24/2022,1,Agriculture,RCC,Strip,4500,15.83
Sports Complex Haripur (Gymnasium),Haripur,Haripur (46),02/17/2022,1,Sports,RCC,Raft,2200,74.88
Tehsil Sports Ground Khanpur,Haripur,Khanpur (48),03/28/2022,1,Sports,RCC,Strip,2200,20.61
GHS Serai Niamat Khan,Haripur,Haripur (46),05/13/2022,1,Education,RCC,,3100,38.5
GGMS Pind Hashim Khan,Haripur,Khanpur (48),06/21/2022,1,Education,RCC,Isolated,3200,24.2
GHS Tarbela (Sector-4),Haripur,Ghazi (47),08/15/2022,2,Education,RCC,Raft,3800,45.9
GMS Kundi,Haripur,Haripur (46),09/07/2022,1,Education,RCC,Strip,3100,22.8
GGPS Ahal Dara,Haripur,Ghazi (47),11/11/2022,1,Education,RCC,Isolated,3200,16.45
GMS Najafpur,Haripur,Khanpur (48),01/06/2023,1,Education,RCC,Strip,3100,
GHS Ghazial,Haripur,Haripur (46),03/17/2023,2,Education,RCC,Raft,3800,42.6
Civil Hospital KTS (Admin Block),Haripur,Haripur (46),05/26/2023,2,Health,RCC,Raft,5200,88.4
BHU Serai Niamat Khan,Haripur,Haripur (46),07/14/2023,1,Health,RCC,Strip,3500,33.15
BHU Jattipind,Haripur,Khanpur (48),09/29/2023,1,Health,RCC,Isolated,,29.8
BHU Koka,Haripur,Ghazi (47),11/20/2023,1,Health,RCC,Strip,3500,31.4
BHU Ladarmang,Haripur,Haripur (46),02/09/2024,1,Health,RCC,Raft,5200,36.25
Judicial Complex Haripur (Session Blocks),Haripur,Haripur (46),04/23/2024,3,Law & Order,RCC,Raft,4500,165.8
Sub-Divisional Complex Ghazi,Haripur,Ghazi (47),06/11/2024,2,Revenue,RCC,Raft,4500,59.2
Police Station KTS,Haripur,Haripur (46),08/19/2024,2,Home Affairs,RCC,Raft,,
Police Post Kot Najibullah,Haripur,Haripur (46),10/07/2024,1,Home Affairs,RCC,Strip,4500,26.5
Pakistan Digital City (Incubation Hub),Haripur,Haripur (46),12/16/2024,2,Technology,RCC,Raft,4500,120
District Social Welfare Office Haripur,Haripur,Haripur (46),02/28/2025,1,Social Work,RCC,Strip,4500,34.1
Public Health Engineering Sub-Div Office,Haripur,Haripur (46),04/15/2025,1,Infrastructure,RCC,Strip,4500,
Rescue 1122 District HQ Haripur,Haripur,Haripur (46),07/22/2025,2,Emergency,RCC,Raft,4500,68.4
